# name	paths separated by semicolons	expected true gates in classifier order
make-root	Makefile	contracts,go,go_full,rust,postgres,web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,docs,agent,android,policy
make-docs-module	mk/docs.mk	docs,policy
make-eval-module	mk/eval.mk	contracts,go,policy
make-android-module	mk/android.mk	android,policy
make-frontend-module	mk/frontend.mk	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android,policy
container-image-acquisition	scripts/ensure-container-image.sh	contracts,postgres,visual,e2e,tuner,policy
playwright-container-runner	scripts/run-playwright-container.sh	contracts,visual,e2e,tuner,policy
merge-queue-policy	scripts/ci-merge-queue-policy.sh;scripts/ci-merge-queue-policy-test.sh	policy
ci-policy-bootstrap	.github/workflows/ci.yml	policy
ci-tooling-bundle	.github/workflows/ci.yml;internal/releaseverify/ci.go;cmd/releaseverify/main.go;scripts/agent.sh;docs/dev/ci.md	go,docs,agent,policy
dev-compose	docker/compose.dev.yaml	contracts,agent
production-compose	docker/compose.yaml	contracts,go,go_full
combined-leaf-and-docs	internal/suggest/score.go;docs/dev/testing.md	contracts,go,postgres,image,docs
filler-eval-corpus	internal/fillereval/corpus/seed-v1.json	contracts,go
planner-eval-corpus	internal/eval/testdata/planner-certification-v1.json;internal/eval/testdata/planner-certification-v2.json;internal/eval/testdata/planner-certification-v3.json;internal/eval/testdata/planner-certification-v4.json;internal/eval/testdata/planner-certification-v5.json;internal/eval/testdata/planner-certification-v6.json;internal/eval/testdata/planner-certification-v6-base.json;internal/eval/testdata/planner-catalog-v1.json;internal/eval/testdata/planner-catalog-v2.json	contracts,go
recommendation-eval-corpus	internal/recommend/testdata/channel-recommendation-v1.json;internal/recommend/testdata/channel-recommendation-snapshots-v1.json	contracts,go
planner-reference-golden	internal/plannerreference/testdata/planner-reference-host-v1.golden.json	contracts,go
filler-corpus-pilot	internal/fillercorpus/corpus/pilot/prelinger.json	contracts,go
filler-corpus-nasa	internal/fillercorpus/corpus/pilot/nasa.json	contracts,go
filler-corpus-cdc	internal/fillercorpus/corpus/pilot/cdc.json;internal/fillercorpus/corpus/seeds/cdc.json	contracts,go
filler-corpus-commons	internal/fillercorpus/corpus/pilot/commons.json	contracts,go
filler-corpus-locked	internal/fillercorpus/corpus/pilot/locked.json	contracts,go
filler-pilot-review	internal/fillercorpus/pilotreview.go	contracts,go,postgres,image
filler-pilot-review-command	cmd/filler-corpus-pilot-rights-review/main.go;cmd/filler-corpus-pilot-rights-lock/main.go	contracts,go,postgres,image
filler-eval-doc	internal/fillereval/README.md	docs
